Planet Earth II
RATING:10 PERCENT:62.0% VOTES:66675
RATING:9 PERCENT:19.8% VOTES:21327
RATING:8 PERCENT:6.9% VOTES:7452
RATING:7 PERCENT:2.0% VOTES:2139
RATING:6 PERCENT:0.7% VOTES:752
RATING:5 PERCENT:0.5% VOTES:525
RATING:4 PERCENT:0.2% VOTES:254
RATING:3 PERCENT:0.2% VOTES:262
RATING:2 PERCENT:0.3% VOTES:313
RATING:1 PERCENT:7.3% VOTES:7876

Monty Python's Flying Circus
RATING:10 PERCENT:36.7% VOTES:26379
RATING:9 PERCENT:26.3% VOTES:18879
RATING:8 PERCENT:16.8% VOTES:12049
RATING:7 PERCENT:6.9% VOTES:4947
RATING:6 PERCENT:2.4% VOTES:1749
RATING:5 PERCENT:1.2% VOTES:851
RATING:4 PERCENT:0.7% VOTES:469
RATING:3 PERCENT:0.5% VOTES:377
RATING:2 PERCENT:0.5% VOTES:374
RATING:1 PERCENT:8.0% VOTES:5770

The Shield
RATING:10 PERCENT:37.5% VOTES:29014
RATING:9 PERCENT:28.5% VOTES:22061
RATING:8 PERCENT:18.1% VOTES:14047
RATING:7 PERCENT:7.4% VOTES:5696
RATING:6 PERCENT:2.7% VOTES:2129
RATING:5 PERCENT:1.3% VOTES:994
RATING:4 PERCENT:0.6% VOTES:502
RATING:3 PERCENT:0.4% VOTES:335
RATING:2 PERCENT:0.8% VOTES:648
RATING:1 PERCENT:2.6% VOTES:1999

Louie
RATING:10 PERCENT:30.7% VOTES:23657
RATING:9 PERCENT:29.5% VOTES:22752
RATING:8 PERCENT:21.0% VOTES:16194
RATING:7 PERCENT:9.1% VOTES:7045
RATING:6 PERCENT:3.5% VOTES:2669
RATING:5 PERCENT:1.6% VOTES:1238
RATING:4 PERCENT:0.9% VOTES:705
RATING:3 PERCENT:0.7% VOTES:516
RATING:2 PERCENT:0.6% VOTES:451
RATING:1 PERCENT:2.4% VOTES:1856

